-754.000000 -526.000000 19.000000, -717.000000 -397.000000 -51.000000, -728.000000 -448.000000 153.000000, -318.000000 -463.000000 469.000000, 
-397.000000 -51.000000 -728.000000, -448.000000 153.000000 -318.000000, -463.000000 469.000000 -657.267883, -603.580811 -18.468771 -616.862122, 
153.000000 -318.000000 -463.000000, 469.000000 -657.267883 -603.580811, -18.468771 -616.862122 -418.780762, -47.431549 -626.805664 -431.619446, 
-657.267883 -603.580811 -18.468771, -616.862122 -418.780762 -47.431549, -626.805664 -431.619446 112.121460, -360.364624 -8.091393 621.681702, 
-418.780762 -47.431549 -626.805664, -431.619446 112.121460 -360.364624, -8.091393 621.681702 -654.540710, -617.630798 -31.336248 -621.107117, 
112.121460 -360.364624 -8.091393, 621.681702 -654.540710 -617.630798, -31.336248 -621.107117 -426.533478, -51.466518 -477.751099 -499.861969, 
-654.540710 -617.630798 -31.336248, -621.107117 -426.533478 -51.466518, -477.751099 -499.861969 263.563141, -372.969666 125.408386 650.337341, 
-426.533478 -51.466518 -477.751099, -499.861969 263.563141 -372.969666, 125.408386 650.337341 -655.411926, -613.620300 -19.305689 -629.704285, 
263.563141 -372.969666 125.408386, 650.337341 -655.411926 -613.620300, -19.305689 -629.704285 -421.462616, -3.638852 -282.530426 -530.671265, 
-655.411926 -613.620300 -19.305689, -629.704285 -421.462616 -3.638852, -282.530426 -530.671265 519.879456, -451.748291 505.543610 697.259094, 
-421.462616 -3.638852 -282.530426, -530.671265 519.879456 -451.748291, 505.543610 697.259094 -652.182312, -612.878235 -26.276114 -628.209290, 
519.879456 -451.748291 505.543610, 697.259094 -652.182312 -612.878235, -26.276114 -628.209290 -423.055756, 12.822055 -261.278839 -534.279480, 
-652.182312 -612.878235 -26.276114, -628.209290 -423.055756 12.822055, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-423.055756 12.822055 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -646.476929, -618.431396 -32.427681 -621.277588, 
541.115967 -451.826447 510.739990, 691.488892 -646.476929 -618.431396, -32.427681 -621.277588 -424.832062, 17.294872 -259.835266 -532.314575, 
-646.476929 -618.431396 -32.427681, -621.277588 -424.832062 17.294872, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-424.832062 17.294872 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -647.403259, -619.261719 -34.648544 -620.701660, 
541.805542 -452.778290 509.764618, 696.544861 -647.403259 -619.261719, -34.648544 -620.701660 -426.694061, 18.824272 -259.835266 -532.314575, 
-647.403259 -619.261719 -34.648544, -620.701660 -426.694061 18.824272, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-426.694061 18.824272 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -651.447266, -614.932556 -38.857235 -625.117188, 
541.805542 -452.778290 509.764618, 696.544861 -651.447266 -614.932556, -38.857235 -625.117188 -429.234436, 23.977791 -259.547638 -535.984436, 
-651.447266 -614.932556 -38.857235, -625.117188 -429.234436 23.977791, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-429.234436 23.977791 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -651.680054, -613.093445 -41.691109 -624.664612, 
540.081665 -453.010254 509.660034, 694.341248 -651.680054 -613.093445, -41.691109 -624.664612 -429.380219, 27.242689 -259.547638 -535.984436, 
-651.680054 -613.093445 -41.691109, -624.664612 -429.380219 27.242689, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-429.380219 27.242689 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -648.747864, -612.909851 -42.994774 -618.508728, 
540.081665 -453.010254 509.660034, 694.341248 -648.747864 -612.909851, -42.994774 -618.508728 -429.466797, 25.556416 -258.527863 -536.782837, 
-648.747864 -612.909851 -42.994774, -618.508728 -429.466797 25.556416, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-429.466797 25.556416 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -649.162781, -612.519531 -42.937500 -617.998718, 
542.585510 -452.296204 509.579956, 694.541382 -649.162781 -612.519531, -42.937500 -617.998718 -429.261322, 25.721216 -258.527863 -536.782837, 
-649.162781 -612.519531 -42.937500, -617.998718 -429.261322 25.721216, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-429.261322 25.721216 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -651.225708, -612.484436 -41.013985 -619.607605, 
542.585510 -452.296204 509.579956, 694.541382 -651.225708 -612.484436, -41.013985 -619.607605 -425.232880, 23.487776 -262.965302 -534.854553, 
-651.225708 -612.484436 -41.013985, -619.607605 -425.232880 23.487776, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-425.232880 23.487776 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -653.250488, -608.568787 -38.683720 -625.183228, 
536.481628 -452.132294 509.214020, 695.961731 -653.250488 -608.568787, -38.683720 -625.183228 -423.752258, 23.944515 -266.722443 -534.420776, 
-653.250488 -608.568787 -38.683720, -625.183228 -423.752258 23.944515, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-423.752258 23.944515 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -646.818665, -609.060242 -38.210491 -616.551575, 
544.236389 -451.748291 505.543610, 697.259094 -646.818665 -609.060242, -38.210491 -616.551575 -421.586151, 25.085163 -260.237030 -538.090698, 
-646.818665 -609.060242 -38.210491, -616.551575 -421.586151 25.085163, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-421.586151 25.085163 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -652.767761, -606.002563 -37.507744 -624.841187, 
540.373352 -450.680176 508.673950, 694.443237 -652.767761 -606.002563, -37.507744 -624.841187 -420.869110, 24.605980 -266.722443 -534.420776, 
-652.767761 -606.002563 -37.507744, -624.841187 -420.869110 24.605980, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.869110 24.605980 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -652.166138, -605.567688 -37.279026 -625.300110, 
544.236389 -451.748291 505.543610, 697.259094 -652.166138 -605.567688, -37.279026 -625.300110 -420.208557, 24.741310 -266.722443 -534.420776, 
-652.166138 -605.567688 -37.279026, -625.300110 -420.208557 24.741310, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.208557 24.741310 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -649.935730, -606.716431 -33.668556 -623.003723, 
544.236389 -451.748291 505.543610, 697.259094 -649.935730 -606.716431, -33.668556 -623.003723 -420.737244, 25.276463 -260.195099 -532.424805, 
-649.935730 -606.716431 -33.668556, -623.003723 -420.737244 25.276463, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-420.737244 25.276463 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -650.045410, -608.563904 -37.817688 -619.275330, 
540.645081 -453.025208 507.201630, 690.712524 -650.045410 -608.563904, -37.817688 -619.275330 -420.012848, 23.329910 -262.965302 -534.854553, 
-650.045410 -608.563904 -37.817688, -619.275330 -420.012848 23.329910, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.012848 23.329910 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -652.147583, -608.147583 -39.312424 -622.656372, 
536.481628 -452.132294 509.214020, 695.961731 -652.147583 -608.147583, -39.312424 -622.656372 -424.404083, 28.551249 -259.547638 -535.984436, 
-652.147583 -608.147583 -39.312424, -622.656372 -424.404083 28.551249, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-424.404083 28.551249 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -652.215027, -608.701050 -40.937229 -622.911621, 
540.081665 -453.010254 509.660034, 694.341248 -652.215027 -608.701050, -40.937229 -622.911621 -425.855103, 29.500324 -259.547638 -535.984436, 
-652.215027 -608.701050 -40.937229, -622.911621 -425.855103 29.500324, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-425.855103 29.500324 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -652.242981, -608.878845 -41.873829 -623.034241, 
540.081665 -453.010254 509.660034, 694.341248 -652.242981 -608.878845, -41.873829 -623.034241 -426.616669, 30.105366 -259.547638 -535.984436, 
-652.242981 -608.878845 -41.873829, -623.034241 -426.616669 30.105366, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-426.616669 30.105366 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -646.612061, -608.879822 -39.709553 -616.862732, 
540.081665 -453.010254 509.660034, 694.341248 -646.612061 -608.879822, -39.709553 -616.862732 -422.391907, 26.405172 -260.237030 -538.090698, 
-646.612061 -608.879822 -39.709553, -616.862732 -422.391907 26.405172, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-422.391907 26.405172 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -652.173401, -608.538696 -40.294735 -622.840820, 
540.373352 -450.680176 508.673950, 694.443237 -652.173401 -608.538696, -40.294735 -622.840820 -425.310516, 29.099152 -259.547638 -535.984436, 
-652.173401 -608.538696 -40.294735, -622.840820 -425.310516 29.099152, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-425.310516 29.099152 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -647.881409, -609.663086 -42.097160 -618.335327, 
540.081665 -453.010254 509.660034, 694.341248 -647.881409 -609.663086, -42.097160 -618.335327 -426.287231, 27.078825 -258.527863 -536.782837, 
-647.881409 -609.663086 -42.097160, -618.335327 -426.287231 27.078825, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-426.287231 27.078825 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -647.876892, -610.238586 -42.204948 -618.516602, 
542.585510 -452.296204 509.579956, 694.541382 -647.876892 -610.238586, -42.204948 -618.516602 -426.780884, 26.778221 -258.527863 -536.782837, 
-647.876892 -610.238586 -42.204948, -618.516602 -426.780884 26.778221, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-426.780884 26.778221 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -650.792969, -611.242188 -40.722710 -619.623535, 
542.585510 -452.296204 509.579956, 694.541382 -650.792969 -611.242188, -40.722710 -619.623535 -424.024139, 24.039009 -262.965302 -534.854553, 
-650.792969 -611.242188 -40.722710, -619.623535 -424.024139 24.039009, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-424.024139 24.039009 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -652.903625, -607.338379 -38.472130 -625.162109, 
536.481628 -452.132294 509.214020, 695.961731 -652.903625 -607.338379, -38.472130 -625.162109 -422.562744, 24.552288 -266.722443 -534.420776, 
-652.903625 -607.338379 -38.472130, -625.162109 -422.562744 24.552288, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-422.562744 24.552288 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -646.875977, -608.283447 -38.080334 -616.248169, 
544.236389 -451.748291 505.543610, 697.259094 -646.875977 -608.283447, -38.080334 -616.248169 -420.888000, 25.458752 -260.237030 -538.090698, 
-646.875977 -608.283447 -38.080334, -616.248169 -420.888000 25.458752, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.888000 25.458752 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -650.753479, -607.192627 -33.643219 -622.354797, 
540.373352 -450.680176 508.673950, 694.443237 -650.753479 -607.192627, -33.643219 -622.354797 -421.308350, 24.923220 -260.195099 -532.424805, 
-650.753479 -607.192627 -33.643219, -622.354797 -421.308350 24.923220, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-421.308350 24.923220 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -652.337769, -605.587585 -37.690701 -626.815552, 
540.645081 -453.025208 507.201630, 690.712524 -652.337769 -605.587585, -37.690701 -626.815552 -420.895264, 26.719368 -261.278839 -534.279480, 
-652.337769 -605.587585 -37.690701, -626.815552 -420.895264 26.719368, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.895264 26.719368 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -649.655945, -606.816895 -34.068180 -623.329407, 
541.115967 -451.826447 510.739990, 691.488892 -649.655945 -606.816895, -34.068180 -623.329407 -420.985077, 25.559975 -260.195099 -532.424805, 
-649.655945 -606.816895 -34.068180, -623.329407 -420.985077 25.559975, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-420.985077 25.559975 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -651.544800, -605.394592 -38.041035 -627.594055, 
540.645081 -453.025208 507.201630, 690.712524 -651.544800 -605.394592, -38.041035 -627.594055 -420.731354, 27.213202 -261.278839 -534.279480, 
-651.544800 -605.394592 -38.041035, -627.594055 -420.731354 27.213202, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-420.731354 27.213202 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -649.241028, -606.725525 -34.299053 -623.721985, 
